time,q0,q1,q2,q3,angle_x,angle_y,angle_z,height
-9.100000000000000311e-01,9.999957148112672556e-01,-2.588061044349362298e-03,1.148806189078279989e-03,7.433326790516535344e-04,-5.174428811869516941e-03,2.301452144829322852e-03,1.480717088895682799e-03,0.000000000000000000e+00
-7.800000000000000266e-01,9.999950517042128784e-01,-2.750653931689673367e-03,1.301173877507742988e-03,7.983837269731546915e-04,-5.499249370662644132e-03,2.606729984642858905e-03,1.589607464753828346e-03,0.000000000000000000e+00
-6.500000000000000222e-01,9.999947454623108190e-01,-2.859401433887762221e-03,1.309281619611352490e-03,7.865448790918779833e-04,-5.716764005863073095e-03,2.623050582929700638e-03,1.565599994385259231e-03,0.000000000000000000e+00
-5.200000000000000178e-01,9.999948711044536198e-01,-2.853033163503467754e-03,1.414430630742539736e-03,3.425675762880913593e-04,-5.705121792509358115e-03,2.830805246618079297e-03,6.770635681332714314e-04,0.000000000000000000e+00
-3.900000000000000133e-01,9.999950402872510580e-01,-2.753863411684495579e-03,1.118273381459071718e-03,1.041682222065482260e-03,-5.505411386644953019e-03,2.242274850354352735e-03,2.077201682583752415e-03,0.000000000000000000e+00
-2.600000000000000089e-01,9.999974683013737042e-01,-1.989858883331668826e-03,9.811281200563575985e-04,3.758192093090122893e-04,-3.978988409153392733e-03,1.963748188791352312e-03,7.477334141064406444e-04,0.000000000000000000e+00
-1.300000000000000044e-01,9.999997418431751939e-01,-2.603697584040925517e-04,3.015701014237089778e-04,-5.979771268280309037e-04,-5.211001646895493597e-04,6.028286933341409906e-04,-1.196111486925377325e-03,0.000000000000000000e+00
0.000000000000000000e+00,9.999257289178776764e-01,3.212776755766134657e-03,-2.585215605729970605e-03,-1.146871282397826652e-02,6.484504124038641647e-03,-5.096376431360280512e-03,-2.295464738415200004e-02,0.000000000000000000e+00
1.300000000000000044e-01,9.999249193606736252e-01,7.308394143452295356e-03,-7.731490938468451972e-03,6.080054642936098992e-03,1.452394185756960242e-02,-1.555131860119383577e-02,1.204793498675159162e-02,0.000000000000000000e+00
2.600000000000000089e-01,9.997511071140213756e-01,-3.897834108904791304e-04,-7.753704379016709662e-03,2.091535229400071430e-02,-1.103848324189877356e-03,-1.548786334123149200e-02,4.184356424696469151e-02,2.270000000000000018e+00
3.900000000000000133e-01,9.990815265858898897e-01,1.548075142214792865e-02,-1.795446325051715600e-02,-3.569435276899764892e-02,3.223988786638654763e-02,-3.477780447871704761e-02,-7.198467686847485891e-02,4.610000000000000320e+00
5.200000000000000178e-01,9.997971413462664048e-01,8.267473903182616379e-03,-1.380558674772277943e-02,-1.211324917780096620e-02,1.687319239824090419e-02,-2.740871200015872894e-02,-2.446148456438891963e-02,7.009999999999999787e+00
6.500000000000000222e-01,9.996743942381182135e-01,1.397094167267554435e-02,-2.134174854746149347e-02,-6.693746078212270845e-04,2.799047833534433136e-02,-4.266383714464282162e-02,-1.936405226528496249e-03,9.669999999999999929e+00
7.800000000000000266e-01,9.992236821757934928e-01,1.847319146698197037e-02,-3.431363496002116237e-02,5.774827434858547347e-03,3.661628380704947533e-02,-6.884171501593414066e-02,1.029749674512191009e-02,1.041000000000000014e+01
9.100000000000000311e-01,9.994020665714673513e-01,1.118403864073620052e-02,-2.685888552127366907e-02,1.868226112966274444e-02,2.138408115966093995e-02,-5.412996772929040690e-02,3.680359994027711246e-02,1.527999999999999936e+01
1.040000000000000036e+00,9.983302710588055628e-01,1.466997331898610944e-02,-4.638898371191600700e-02,3.113717971567931536e-02,2.652148246387478134e-02,-9.367354987936273025e-02,6.111513726566952798e-02,1.898999999999999844e+01
1.169999999999999929e+00,9.987420135258114895e-01,-2.598836987834621942e-02,-2.390675319664588641e-02,3.560143537931972912e-02,-5.369595605457825466e-02,-4.591904657465060297e-02,7.249572911865216629e-02,2.235000000000000142e+01
1.300000000000000044e+00,9.969043017194842982e-01,-3.203437238315899604e-02,-2.980139183685191762e-02,6.532602271522676418e-02,-6.791982831094039996e-02,-5.526103673017054851e-02,1.327485128970515849e-01,2.819999999999999929e+01
1.429999999999999938e+00,9.937335654314201072e-01,-3.572701991948979555e-02,-3.573488064074347575e-02,9.970054808385528378e-02,-7.837205066048322233e-02,-6.394145573555914952e-02,2.024970213393113005e-01,3.096999999999999886e+01
1.560000000000000053e+00,9.879039997290947062e-01,-4.355206141595079766e-02,-4.269764923227704206e-02,1.425686361571680827e-01,-9.864028007292288680e-02,-7.200624898483590219e-02,2.902052506973279433e-01,3.817000000000000171e+01
1.689999999999999947e+00,9.776317651466426284e-01,-4.987705169034288566e-02,-3.876815762366666446e-02,2.006126652168422897e-01,-1.134974532946641940e-01,-5.581901013473301171e-02,4.079580871660555830e-01,4.465999999999999659e+01
1.820000000000000062e+00,9.632963286482721932e-01,-4.505047858019475826e-02,-4.341316468155727304e-02,2.610477633016363708e-01,-1.098790558662800648e-01,-6.015510431392013385e-02,5.325858044701740068e-01,4.963000000000000256e+01
1.949999999999999956e+00,9.448658891538701532e-01,-4.586791142066764387e-02,-4.332174570681199266e-02,3.213219764726439887e-01,-1.149288324293099989e-01,-5.241373885306421093e-02,6.586211565098455401e-01,5.778000000000000114e+01
2.080000000000000071e+00,9.209264785980874057e-01,-4.916046047804900621e-02,-4.360550673758764595e-02,3.841565174830054441e-01,-1.244826838575095740e-01,-4.255715373847299143e-02,7.930436752836190761e-01,6.200999999999999801e+01
2.209999999999999964e+00,8.916074732772084621e-01,-6.040188585096025603e-02,-4.384305552493588526e-02,4.466156202643576378e-01,-1.474483597534358981e-01,-2.423111161929725893e-02,9.305413714238818246e-01,7.131000000000000227e+01
2.339999999999999858e+00,8.584958567043863287e-01,-7.729124583121098346e-02,-4.107787171203954729e-02,5.052954935430060690e-01,-1.751200574697680812e-01,7.579543656898348435e-03,1.063298337271354255e+00,7.956999999999999318e+01
2.470000000000000195e+00,8.211565331454603323e-01,-9.208718002330402996e-02,-3.743468850562646499e-02,5.619791307907889832e-01,-1.947098921723430798e-01,4.203504655088115965e-02,1.196218782540222403e+00,8.262999999999999545e+01
2.600000000000000089e+00,7.802828680177190668e-01,-1.019325116872440845e-01,-3.009128345620730102e-02,6.163302066255804679e-01,-1.980673874674258039e-01,7.877017889162953035e-02,1.329249430313353519e+00,9.240999999999999659e+01
