T,加速度X(G),加速度Y(G),加速度Z(G),加速度合計(G),地磁気X(gauss),地磁気Y(gauss),地磁気Z(gauss),ジャイロX(dps),ジャイロY(dps),ジャイロZ(dps),気圧(hPa),高度(m),気温(℃),飛行状態,,
+ 8.59,0.205,-0.133,0.051,0.250,0.290,0.049,-0.168,-19.285,-28.971,-132.991,958.55,208.92,39.42,4,,
+ 8.72,0.253,-0.086,0.053,0.270,0.155,0.055,-0.150,-12.548,-36.225,-92.321,958.77,206.84,39.42,4,,
+ 8.85,0.318,-0.034,0.049,0.320,0.032,0.017,-0.129,-7.114,-42.263,-40.924,959.07,203.98,39.42,4,,
+ 8.98,0.338,-0.045,0.039,0.340,-0.032,-0.005,-0.100,-3.981,-45.115,13.615,959.25,202.19,39.42,4,,
+ 9.11,0.362,-0.025,0.038,0.360,-0.036,0.026,-0.065,-8.864,-45.981,78.374,959.51,199.68,39.42,4,,
+ 9.24,0.332,-0.262,0.042,0.420,-0.036,0.026,-0.065,-24.176,-42.543,151.104,959.57,199.13,39.42,4,,
+ 9.37,0.382,-0.365,0.045,0.530,0.056,0.118,-0.027,-42.096,-26.775,164.255,959.64,198.46,39.42,4,,
+ 9.50,0.129,-0.404,0.039,0.430,0.244,0.195,0.019,-46.296,-12.836,114.205,959.65,198.36,39.41,4,,
+ 9.63,0.247,-0.373,0.029,0.450,0.386,0.194,0.061,-53.471,6.256,94.623,960.09,194.17,39.41,4,,
+ 9.76,0.022,-0.405,0.014,0.410,0.506,0.148,0.115,-60.550,21.175,157.605,960.09,194.12,39.41,4,,
+ 9.89,-0.306,-0.285,0.012,0.420,0.506,0.148,0.115,-51.555,45.614,279.528,960.19,193.24,39.41,4,,
+ 10.02,-0.258,0.001,-0.035,0.260,0.645,-0.057,0.179,-27.676,66.596,264.591,961.03,185.2,39.41,4,,
+ 10.15,-0.164,0.027,-0.062,0.180,0.571,-0.400,0.240,8.444,78.155,211.829,962.01,175.84,39.4,4,,
+ 10.28,-0.078,-0.001,-0.092,0.120,0.322,-0.569,0.294,45.946,59.973,235.174,962.3,173.06,39.4,4,,
+ 10.42,-0.013,-0.036,-0.100,0.110,0.050,-0.528,0.334,65.660,20.799,222.810,962.65,169.72,39.39,4,,
+ 10.54,-0.010,-0.047,-0.081,0.090,-0.073,-0.326,0.364,55.650,-12.933,196.315,963.16,164.87,39.39,4,,
+ 10.67,-0.022,-0.067,-0.026,0.070,-0.073,-0.326,0.364,23.424,-22.654,168.508,963.17,164.76,39.38,4,,
+ 10.81,-0.075,-0.075,0.010,0.110,-0.041,-0.130,0.383,0.201,-2.931,129.159,963.66,160.1,39.38,4,,
+ 10.93,-0.098,-0.044,0.012,0.110,0.026,-0.021,0.385,-6.641,25.489,110.714,963.91,157.73,39.38,4,,
+ 11.06,-0.070,-0.016,-0.015,0.070,0.073,0.039,0.375,-3.903,45.990,103.268,964.54,151.7,39.38,4,,
