# time,q0,q1,q2,q3,angle_x,angle_y,angle_z,height
-5.070000000000000284e+00,9.999971630121805566e-01,-1.852614968329854275e-03,6.286183520906070540e-04,1.358905565784207341e-03,3.706939286906665767e-03,-1.252198407073897100e-03,-2.720138083745663165e-03,0.000000000000000000e+00
-4.940000000000000391e+00,9.999972824583100994e-01,-2.004416488986784841e-03,7.445313403117003598e-04,9.290121723962049523e-04,4.010220613492090566e-03,-1.485334925562350767e-03,-1.861007124436709443e-03,0.000000000000000000e+00
-4.809999999999999609e+00,9.999973288072498967e-01,-2.007871158464953013e-03,6.884915247216325234e-04,9.147738496260615811e-04,4.017005809442661911e-03,-1.373306306866853028e-03,-1.832310369856209433e-03,0.000000000000000000e+00
-4.679999999999999716e+00,9.999971307435804313e-01,-2.011695708333338575e-03,6.617632257266613206e-04,1.119667100729027521e-03,4.024876149704755685e-03,-1.319018177387197305e-03,-2.241994137279303134e-03,0.000000000000000000e+00
-4.549999999999999822e+00,9.999967882271848518e-01,-1.996604780190849339e-03,5.945460388940130604e-04,1.443474860901424947e-03,3.994926582697317687e-03,-1.183324437239341442e-03,-2.889320639485202114e-03,0.000000000000000000e+00
-4.419999999999999929e+00,9.999966867915632829e-01,-2.099453622419874578e-03,6.290396844919236103e-04,1.350188675114995154e-03,4.200607625211556437e-03,-1.252406211099108425e-03,-2.703015093972109192e-03,0.000000000000000000e+00
-4.290000000000000036e+00,9.999967601212201851e-01,-2.084372339196530807e-03,4.341509394455734801e-04,1.395224704432261251e-03,4.169956284254840856e-03,-8.624828370666867174e-04,-2.792254899498680925e-03,0.000000000000000000e+00
-4.160000000000000142e+00,9.999965239916643878e-01,-2.216504130790023126e-03,5.378504308670862405e-04,1.322811755414983730e-03,4.434432873087616397e-03,-1.069833291227145549e-03,-2.648003219996508326e-03,0.000000000000000000e+00
-4.030000000000000249e+00,9.999961548678648615e-01,-2.279699791431897497e-03,6.502331592595497279e-04,1.438893736225195941e-03,4.561272918750179130e-03,-1.293901187590817091e-03,-2.880747475625120360e-03,0.000000000000000000e+00
-3.899999999999999911e+00,9.999959179089326078e-01,-2.362327125088225371e-03,6.839718532966851698e-04,1.454564721346870461e-03,4.726646704204773633e-03,-1.361066227359165968e-03,-2.912355912463284770e-03,0.000000000000000000e+00
-3.770000000000000018e+00,9.999959575761909747e-01,-2.297712489634136553e-03,4.676337679149398748e-04,1.608311925685430724e-03,4.596928773574136297e-03,-9.278730114261559856e-04,-3.218766767886598133e-03,0.000000000000000000e+00
-3.640000000000000124e+00,9.999958839449574199e-01,-2.202305326475864460e-03,5.200114987373237029e-04,1.763953636777039263e-03,4.406443683076776037e-03,-1.032249371019827331e-03,-3.530192413812065048e-03,0.000000000000000000e+00
